13,87,25,0,26,57,72,85,31,75,75,22
6,89,26,0,36,36,83,100,37,84,77,7
40,100,70,3,0,27,42,73,0,44,100,1
23,100,36,0,19,56,72,74,24,58,85,18
22,100,54,0,5,18,73,84,24,52,100,0
64,92,92,23,0,12,20,52,0,15,100,0
41,100,65,5,9,35,42,69,0,49,100,0
19,98,41,0,32,38,63,100,20,77,84,4
32,100,53,0,7,47,67,62,16,42,100,1
29,100,54,1,31,19,41,91,0,72,88,0
38,100,74,0,0,14,52,80,10,43,100,9
21,91,61,0,9,9,66,76,25,54,100,0
63,97,92,15,0,4,15,62,0,28,100,12
39,97,62,0,18,27,58,53,5,48,100,0
38,100,81,1,16,15,34,68,0,44,100,0
31,95,56,0,0,45,67,61,16,38,100,10
56,100,86,19,0,13,30,73,0,33,100,15
28,100,51,0,8,49,57,86,17,61,93,8
3,71,13,0,55,68,83,89,41,100,60,24
54,100,80,5,7,28,39,50,0,22,100,0
0,77,23,1,44,48,83,98,39,86,71,15
18,85,32,0,37,31,61,100,23,82,77,5
55,100,78,15,6,16,31,67,0,40,100,0
11,82,30,0,64,30,67,93,24,100,66,4
5,72,20,0,50,47,67,88,30,91,68,19
33,100,62,0,0,34,41,83,0,49,100,0
21,93,35,0,48,33,58,100,20,94,78,8
36,100,55,0,21,22,75,46,18,34,100,0
32,100,34,0,10,67,74,73,30,58,79,19
30,100,57,0,0,31,50,92,8,56,100,5
34,100,53,0,20,38,64,60,15,47,98,5
43,100,74,0,0,10,47,65,1,33,100,2
65,74,80,9,32,10,44,20,0,22,100,0
33,94,62,0,0,27,56,72,8,46,100,2
9,70,21,0,63,50,60,100,27,91,70,17
66,80,86,25,6,0,14,45,0,34,100,5
46,100,79,8,0,11,16,84,0,37,100,0
44,93,61,0,7,24,62,36,0,29,100,0
48,99,73,1,23,17,45,52,0,44,100,0
39,100,76,0,0,9,51,69,11,37,100,1
31,100,62,0,8,7,62,78,20,53,100,0
0,83,12,13,34,63,100,88,59,88,67,30
23,97,53,0,31,23,48,100,9,75,91,0
2,88,2,0,45,89,83,98,44,100,61,38
20,100,51,0,50,7,45,98,5,84,84,0
64,78,90,14,16,6,32,34,0,18,100,0
0,80,9,18,36,84,100,92,66,89,60,39
33,100,64,0,0,31,58,81,13,49,100,6
26,100,41,0,17,44,62,92,13,63,82,9
46,79,63,0,0,27,64,25,8,12,100,0
30,100,52,0,14,23,49,96,11,70,91,0
11,87,50,0,45,20,61,100,22,79,86,0
54,100,82,17,26,13,16,65,0,47,100,0
23,100,43,0,14,43,69,84,20,62,88,3
6,76,27,0,49,36,76,70,32,91,70,3
16,89,39,0,17,33,69,100,27,69,88,4
16,100,10,0,47,81,82,82,42,96,70,29
40,100,75,0,0,38,55,79,8,42,100,13
57,97,87,12,0,35,38,72,0,37,100,22
9,94,27,0,46,36,86,100,38,88,72,9
38,100,49,0,0,48,66,70,6,48,93,19
3,86,24,0,34,34,84,100,38,82,75,14
75,87,100,22,4,0,25,39,0,7,95,14
49,100,81,8,0,17,39,61,0,24,100,3
43,100,88,5,5,0,29,70,0,34,100,1
0,63,6,0,85,70,69,100,35,100,58,25
51,100,77,13,0,19,28,76,0,34,100,3
27,94,54,0,0,31,59,100,20,60,98,7
23,92,38,0,35,20,55,100,17,83,79,3
47,100,65,11,7,34,41,67,0,42,100,0
7,83,32,0,43,46,69,100,28,85,77,13
10,100,23,0,19,40,95,75,45,61,83,22
25,100,47,0,17,38,60,85,19,71,99,6
0,46,0,31,90,80,100,85,70,100,28,43
16,100,43,0,29,25,69,96,20,72,87,0
30,100,66,0,18,12,46,93,6,63,100,0
27,100,51,0,25,32,60,72,17,66,95,0
18,91,40,0,30,21,64,81,23,75,86,0
0,63,21,3,61,47,81,73,39,100,62,11
37,100,69,0,0,18,51,80,6,44,100,6
59,95,80,15,0,27,39,53,0,23,100,5
10,100,25,0,35,59,88,94,41,82,77,16
18,95,24,0,31,71,69,98,32,85,76,29
51,100,73,11,6,6,39,62,0,35,100,0
24,100,34,0,26,62,65,93,24,77,78,20
67,70,84,19,11,11,34,24,0,21,100,0
30,100,57,0,7,31,53,72,8,51,100,0
61,100,89,18,14,3,25,58,0,25,100,0
23,100,59,0,19,31,57,91,13,62,100,0
44,100,77,6,12,12,30,67,0,37,100,0
48,100,69,3,0,9,50,54,0,28,100,1
33,100,67,0,16,15,46,75,7,53,100,0
25,100,47,0,19,29,59,98,17,71,90,2
65,84,91,20,10,0,36,41,0,15,100,9
8,92,33,0,38,26,80,100,34,82,80,0
4,82,25,0,28,39,77,100,36,77,78,14
37,100,54,0,20,51,63,56,8,28,100,12
27,92,41,0,0,43,67,74,27,54,87,8
18,84,28,0,46,9,64,90,24,92,69,4
27,100,53,0,7,37,51,99,7,58,98,0
28,99,31,0,7,69,80,71,34,56,80,22
8,82,34,0,28,54,67,100,28,73,83,12
35,100,75,0,6,0,48,95,12,50,100,10
31,100,68,0,26,1,54,75,16,61,100,0
57,100,82,12,0,31,36,60,0,15,100,2
71,90,90,31,0,30,9,63,0,32,100,24
16,100,39,0,30,56,68,93,24,76,86,15
0,74,26,0,42,39,75,100,34,82,75,14
47,83,62,0,12,31,59,28,2,20,100,1
31,100,61,0,4,26,49,83,4,50,100,0
25,100,53,0,34,11,46,92,5,73,88,0
14,83,52,0,11,29,66,85,24,61,98,0
18,96,50,0,4,47,75,88,29,59,100,0
24,100,29,0,36,50,70,85,30,89,76,16
35,100,66,0,13,11,68,51,14,34,100,0
44,100,90,4,0,10,37,62,0,24,100,12
26,100,52,0,20,25,62,88,17,66,92,0
22,99,44,0,15,43,64,88,19,66,90,9
38,100,83,0,0,12,36,80,2,43,100,7
