57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85
36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100
27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73
56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74
18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84
12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52
35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69
38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100
47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62
19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91
14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80
9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76
4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62
27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53
15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68
45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61
13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73
49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86
68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89
28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50
48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98
31,95,5,61,0,23,32,0,77,18,100,51,82,85,37,100
16,59,0,31,31,0,78,15,100,55,87,98,40,100,6,67
30,100,4,67,0,24,30,0,66,11,95,41,100,82,64,93
47,100,19,67,0,30,20,0,68,5,100,33,91,72,50,88
34,76,0,41,7,0,62,0,100,33,95,74,49,100,0,83
33,93,8,58,0,20,35,0,78,21,100,55,94,93,48,100
22,98,0,75,4,18,55,0,100,36,84,89,34,100,21,46
67,97,19,74,0,30,34,0,79,32,100,76,58,100,10,73
31,88,5,50,4,8,57,0,100,30,100,71,56,100,0,92
38,73,5,64,0,15,53,0,98,34,100,83,47,100,20,60
10,97,2,47,24,1,74,0,100,43,82,90,33,100,0,65
10,86,0,44,33,0,80,9,100,65,64,100,22,74,32,20
27,100,2,56,12,8,62,0,100,33,94,79,46,94,0,72
50,86,17,60,0,27,21,0,70,9,100,37,91,70,63,100
0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45
11,50,0,16,38,0,79,8,100,46,76,84,37,100,0,84
24,87,0,62,7,0,61,0,100,44,80,100,29,93,7,36
17,96,0,45,26,0,73,1,100,48,88,100,44,99,23,52
9,86,1,51,27,11,76,0,100,39,84,83,37,100,0,69
7,86,0,62,15,20,62,0,100,31,96,73,53,100,8,78
63,77,30,100,0,59,12,13,67,0,100,37,88,83,34,88
23,83,0,48,10,9,53,0,91,23,100,63,75,97,31,100
89,100,38,83,0,44,2,0,61,2,100,40,100,88,45,98
7,89,0,45,16,5,51,0,84,20,100,61,84,100,50,98
6,74,0,32,38,0,90,14,100,64,67,100,18,78,16,34
84,81,39,100,0,66,9,18,60,0,100,33,89,80,36,92
31,88,6,58,14,13,64,0,100,33,96,77,49,100,0,81
44,97,9,62,0,13,41,0,82,26,100,72,63,100,17,92
27,100,0,64,4,8,63,0,100,46,73,96,12,79,0,25
23,85,0,49,2,11,52,0,91,30,100,67,70,100,14,96
20,85,0,61,18,22,50,0,86,11,100,51,79,87,45,100
13,54,0,16,39,0,82,17,100,54,89,93,47,100,26,65
43,97,3,69,0,20,43,0,88,23,100,70,62,100,14,84
36,100,3,76,0,32,27,0,70,6,100,37,91,76,49,70
