10,7,8,5,3,3
9,7,9,4,1,2
9,7,12,3,4,3
10,8,11,4,4,3
10,7,8,5,3,3
5,4,12,4,4,2
7,5,11,2,2,2
4,3,12,3,3,2
10,8,11,5,5,2
6,4,8,4,2,3
5,4,11,3,4,2
5,4,12,2,3,2
8,6,11,2,3,3
3,2,12,4,3,2
8,6,9,4,2,2
10,8,12,3,4,3
7,5,8,4,2,3
5,3,12,2,2,2
10,7,9,4,2,2
8,6,11,5,4,2
7,5,11,4,3,2
3,2,12,3,3,2
9,7,11,2,4,2
8,6,11,2,3,2
4,2,13,4,2,2
11,8,11,6,5,3
6,4,11,3,4,2
4,3,12,4,3,2
5,4,12,2,3,2
3,1,12,3,2,2
2,4,12,2,3,4
5,4,13,3,3,3
9,7,8,4,3,3
4,7,8,4,3,3
3,1,11,2,2,1
4,3,12,2,3,2
8,6,12,4,4,3
7,5,12,2,3,3
5,8,8,4,3,3
9,7,11,2,3,2
6,4,12,4,4,2
8,6,11,2,3,2
5,4,12,3,3,2
6,4,11,4,3,2
1,1,12,3,2,2
6,4,11,4,3,2
9,6,8,4,2,3
8,6,11,3,4,3
8,6,11,4,4,2
5,3,12,4,4,2
8,6,8,4,3,3
2,4,13,3,4,3
10,8,8,4,3,3
7,5,8,4,2,3
6,4,12,1,2,3
1,2,13,3,2,2
7,5,11,3,3,2
11,8,11,1,2,4
8,6,11,3,4,2
8,6,12,3,3,2
3,4,8,4,2,3
9,7,12,2,3,4
6,4,12,5,4,3
7,5,11,3,3,2
7,5,11,2,3,2
4,6,8,5,3,3
5,7,8,4,3,3
4,3,12,2,2,2
8,6,12,3,3,3
5,4,12,3,3,2
8,6,12,3,3,2
3,2,12,3,3,2
6,4,12,3,3,2
4,3,12,4,4,2
5,4,12,2,3,2
9,7,8,5,3,3
9,7,11,2,4,5
10,7,11,2,3,2
8,6,12,4,4,2
6,4,12,2,3,2
11,8,12,2,3,2
4,3,12,3,3,2
11,8,11,2,3,2
8,6,12,2,3,4
5,3,13,3,3,3
10,8,12,3,3,3
10,8,11,2,3,2
7,5,12,2,3,2
3,4,8,4,2,3
4,3,12,3,3,2
2,3,12,2,3,2
8,6,8,4,3,3
10,8,11,6,5,3
6,4,9,3,1,2
5,3,12,2,3,3
7,5,11,2,2,2
9,7,8,4,2,3
6,4,12,1,2,2
4,6,8,4,3,3
2,3,12,2,3,2
9,7,11,5,5,3
6,4,8,4,2,3
5,8,8,4,3,3
6,4,8,4,2,3
1,2,12,2,2,2
9,7,11,2,3,2
9,6,11,2,3,2
8,6,8,4,3,3
9,7,12,3,4,2
7,5,8,4,2,3
10,8,11,3,3,2
7,5,11,4,3,2
3,2,12,3,2,2
8,6,8,5,3,3
10,8,13,5,4,3
8,6,12,4,4,3
6,4,12,3,4,3
3,1,12,2,3,2
11,8,11,3,4,3
10,8,9,4,2,4
10,8,11,5,4,2
9,6,11,4,4,2
3,4,8,4,2,3
6,4,8,4,2,3
10,7,11,1,2,3
5,3,12,3,3,2
9,7,12,3,4,3
5,8,8,4,3,3
5,4,12,3,3,2
9,7,11,2,3,3
9,7,11,3,4,3
7,5,9,3,1,2
1,3,12,2,3,2
