87,13,26,50,57,25,100,22
89,6,36,46,36,26,92,7
100,40,0,84,27,70,76,1
100,23,19,69,56,36,99,18
100,22,5,71,18,54,73,0
92,64,0,100,12,92,61,0
100,41,9,85,35,65,76,0
98,19,32,60,38,41,94,4
100,32,7,81,47,53,93,1
100,29,31,71,19,54,81,0
100,38,0,81,14,74,91,9
91,21,9,64,9,61,100,0
97,63,0,100,4,92,63,12
97,39,18,91,27,62,100,0
100,38,16,78,15,81,73,0
95,31,0,79,45,56,100,10
100,56,0,90,13,86,68,15
100,28,8,70,49,51,83,8
71,3,55,30,68,13,100,24
100,54,7,99,28,80,82,0
77,0,44,34,48,23,100,15
85,18,37,51,31,32,95,5
100,55,6,98,16,78,59,0
82,11,64,41,30,30,100,4
72,5,50,33,47,20,100,19
100,33,0,74,34,62,76,0
93,21,48,55,33,35,93,8
100,36,21,89,22,55,98,0
100,32,10,76,67,34,97,19
100,30,0,71,31,57,88,5
100,34,20,83,38,53,73,5
100,43,0,90,10,74,97,2
74,65,32,100,10,80,86,0
94,33,0,79,27,62,100,2
70,9,63,37,50,21,86,17
80,66,6,100,0,86,56,5
100,46,0,84,11,79,50,0
93,44,7,100,24,61,87,0
99,48,23,100,17,73,96,0
100,39,0,83,9,76,86,1
100,31,8,73,7,62,86,0
83,0,34,37,63,12,77,30
97,23,31,63,23,53,83,0
88,2,45,40,89,2,100,38
100,20,50,61,7,51,89,0
78,64,16,100,6,90,74,0
80,0,36,33,84,9,81,39
100,33,0,77,31,64,88,6
100,26,17,72,44,41,97,9
79,46,0,96,27,63,100,0
100,30,14,67,23,52,85,0
87,11,45,51,20,50,85,0
100,54,26,93,13,82,54,0
100,23,14,70,43,43,97,3
76,6,49,37,36,27,100,3
89,16,17,56,33,39,95,4
100,16,47,56,81,10,90,29
100,40,0,87,38,75,85,13
97,57,0,100,35,87,85,22
94,9,46,47,36,27,84,9
100,38,0,96,48,49,77,19
86,3,34,42,34,24,89,14
87,75,4,100,0,100,67,14
100,49,0,90,17,81,82,3
100,43,5,79,0,88,70,1
63,0,85,25,70,6,91,25
100,51,0,89,19,77,66,3
94,27,0,65,31,54,93,7
92,23,35,58,20,38,85,3
100,47,7,90,34,65,76,0
83,7,43,44,46,32,94,13
100,10,19,58,40,23,94,22
100,25,17,65,38,47,96,6
46,0,90,11,80,0,88,43
100,16,29,61,25,43,100,0
100,30,18,73,12,66,55,0
100,27,25,69,32,51,90,0
91,18,30,56,21,40,100,0
63,0,61,22,47,21,100,11
100,37,0,83,18,69,99,6
95,59,0,100,27,80,82,5
100,10,35,55,59,25,90,16
95,18,31,56,71,24,100,29
100,51,6,94,6,73,83,0
100,24,26,63,62,34,88,20
70,67,11,100,11,84,84,0
100,30,7,75,31,57,83,0
100,61,14,100,3,89,70,0
100,23,19,69,31,59,78,0
100,44,12,85,12,77,73,0
100,48,0,97,9,69,96,1
100,33,16,76,15,67,80,0
