57,50,85,13,100,31
36,46,100,6,92,37
27,84,73,40,76,0
56,69,74,23,99,24
18,71,84,22,73,24
12,100,52,64,61,0
35,85,69,41,76,0
38,60,100,19,94,20
47,81,62,32,93,16
19,71,91,29,81,0
14,81,80,38,91,10
9,64,76,21,100,25
4,100,62,63,63,0
27,91,53,39,100,5
15,78,68,38,73,0
45,79,61,31,100,16
13,90,73,56,68,0
49,70,86,28,83,17
68,30,89,3,100,41
28,99,50,54,82,0
48,34,98,0,100,39
31,51,100,18,95,23
16,98,67,55,59,0
30,41,93,11,100,24
47,33,88,5,100,30
34,74,83,33,76,0
33,55,100,21,93,20
22,89,46,36,98,18
67,76,73,32,97,30
31,71,92,30,88,8
38,83,60,34,73,15
10,90,65,43,97,1
10,100,20,65,86,0
27,79,72,33,100,8
50,37,100,9,86,27
0,100,45,66,56,0
11,84,84,46,50,0
24,100,36,44,87,0
17,100,52,48,96,0
9,83,69,39,86,11
7,73,78,31,86,20
63,37,88,0,77,59
23,63,100,23,83,9
89,40,98,2,100,44
7,61,98,20,89,5
6,100,34,64,74,0
84,33,92,0,81,66
31,77,81,33,88,13
44,72,92,26,97,13
27,96,25,46,100,8
23,67,96,30,85,11
20,51,100,11,85,22
13,93,65,54,54,0
43,70,84,23,97,20
36,37,70,6,100,32
33,56,100,16,95,27
81,56,82,16,90,42
38,87,79,40,85,8
35,100,72,57,85,0
36,47,100,9,84,38
48,96,70,38,77,6
34,42,100,3,89,38
0,100,39,75,67,0
17,90,61,49,82,0
0,79,70,43,70,0
70,25,100,0,91,35
19,89,76,51,66,0
31,65,100,27,93,20
20,58,100,23,85,17
34,90,67,47,76,0
46,44,100,7,94,28
40,58,75,10,94,45
38,65,85,25,96,19
80,11,85,0,88,70
25,61,96,16,100,20
12,73,93,30,55,6
32,69,72,27,90,17
21,56,81,18,100,23
47,22,73,0,100,39
18,83,80,37,99,6
27,100,53,59,82,0
59,55,94,10,90,41
71,56,98,18,100,32
6,94,62,51,83,0
62,63,93,24,88,24
11,100,24,67,84,0
31,75,72,30,83,8
3,100,58,61,70,0
31,69,91,23,78,13
12,85,67,44,73,0
9,97,54,48,96,0
15,76,75,33,80,7
29,66,98,25,94,17
0,100,41,65,59,0
26,50,100,8,91,34
39,43,100,4,96,36
51,86,56,37,92,8
43,66,74,27,100,27
9,49,90,18,100,24
37,70,99,27,84,7
69,75,71,28,100,34
54,46,100,8,82,28
0,75,95,35,88,12
1,71,75,31,90,16
31,93,60,57,71,0
30,100,63,71,49,0
56,60,93,16,92,24
39,35,100,0,90,34
31,100,28,47,99,2
26,76,83,31,92,4
11,68,92,25,85,5
29,55,85,14,100,24
47,63,88,18,100,29
50,62,85,24,91,30
11,88,51,35,100,14
10,82,62,44,80,0
25,69,88,26,84,17
43,66,88,22,100,19
12,78,80,38,78,2
16,100,44,57,76,0
21,90,86,44,73,0
9,82,72,37,77,0
29,80,74,38,96,12
81,24,97,0,100,55
25,100,63,75,40,4
17,81,79,36,100,10
31,96,84,56,72,0
25,38,100,0,77,40
27,76,82,34,82,6
23,63,98,25,96,15
25,55,100,16,86,41
31,52,100,15,91,20
43,56,100,20,95,31
32,53,97,20,100,24
30,71,86,29,94,14
46,36,100,4,99,31
0,98,60,60,73,0
22,64,95,27,99,25
60,75,75,27,82,25
19,82,77,41,77,0
15,100,43,63,79,0
62,81,70,31,90,26
11,90,65,48,82,0
27,88,67,45,84,0
23,62,66,21,100,23
7,95,67,49,69,0
70,33,74,2,100,39
0,67,93,29,97,21
13,81,62,35,100,13
25,100,57,68,57,0
37,26,92,0,100,39
30,78,73,36,83,3
7,100,56,68,54,0
47,51,95,18,100,34
18,76,76,30,91,6
62,57,97,15,98,29
14,53,100,10,86,29
4,79,86,35,88,4
32,87,87,30,86,4
11,97,61,61,80,0
46,78,86,29,88,11
0,100,38,61,90,0
27,51,98,4,100,42
44,53,100,13,94,28
16,93,73,50,68,0
17,64,86,22,96,20
58,65,79,27,96,26
51,51,95,15,100,27
49,51,97,8,100,32
38,100,33,51,99,0
30,45,100,6,88,33
37,65,100,25,92,13
45,79,67,34,98,21
21,94,75,55,73,0
0,89,54,45,89,0
82,37,92,0,87,60
35,65,100,17,97,27
74,64,82,25,95,36
