75,87,50,100,25,26,0,72,100,75
84,89,46,92,26,36,0,83,100,77
44,100,84,76,70,0,16,42,92,100
58,100,69,99,36,19,0,72,100,85
52,100,71,73,54,5,10,73,95,100
15,92,100,61,92,0,44,20,70,100
49,100,85,76,65,9,11,42,97,100
77,98,60,94,41,32,0,63,100,84
42,100,81,93,53,7,0,67,95,100
72,100,71,81,54,31,12,41,100,88
43,100,81,91,74,0,28,52,86,100
54,91,64,100,61,9,20,66,93,100
28,97,100,63,92,0,52,15,72,100
48,97,91,100,62,18,12,58,97,100
44,100,78,73,81,16,30,34,87,100
38,95,79,100,56,0,7,67,91,100
33,100,90,68,86,0,42,30,84,100
61,100,70,83,51,8,0,57,100,93
100,71,30,100,13,55,0,83,99,60
22,100,99,82,80,7,30,39,70,100
86,77,34,100,23,44,0,83,100,71
82,85,51,95,32,37,0,61,100,77
40,100,98,59,78,6,31,31,87,100
100,82,41,100,30,64,0,67,95,66
91,72,33,100,20,50,0,67,100,68
49,100,74,76,62,0,7,41,95,100
94,93,55,93,35,48,0,58,100,78
34,100,89,98,55,21,4,75,84,100
58,100,76,97,34,10,0,74,100,79
56,100,71,88,57,0,4,50,100,100
47,100,83,73,53,20,0,64,100,98
33,100,90,97,74,0,24,47,82,100
22,74,100,86,80,32,33,44,64,100
46,94,79,100,62,0,12,56,94,100
91,70,37,86,21,63,0,60,100,70
34,80,100,56,86,6,47,14,76,100
37,100,84,50,79,0,38,16,76,100
29,93,100,87,61,7,7,62,80,100
44,99,100,96,73,23,26,45,88,100
37,100,83,86,76,0,27,51,84,100
53,100,73,86,62,8,15,62,96,100
88,83,37,77,12,34,0,100,100,67
75,97,63,83,53,31,10,48,100,91
100,88,40,100,2,45,0,83,100,61
84,100,61,89,51,50,16,45,100,84
18,78,100,74,90,16,38,32,67,100
89,80,33,81,9,36,0,100,100,60
49,100,77,88,64,0,14,58,96,100
63,100,72,97,41,17,0,62,100,82
12,79,96,100,63,0,4,64,73,100
70,100,67,85,52,14,2,49,100,91
79,87,51,85,50,45,18,61,100,86
47,100,93,54,82,26,39,16,89,100
62,100,70,97,43,14,0,69,100,88
91,76,37,100,27,49,0,76,100,70
69,89,56,95,39,17,0,69,100,88
96,100,56,90,10,47,0,82,100,70
42,100,87,85,75,0,31,55,85,100
37,97,100,85,87,0,45,38,81,100
88,94,47,84,27,46,0,86,100,72
48,100,96,77,49,0,0,66,100,93
82,86,42,89,24,34,0,84,100,75
7,87,100,67,100,4,57,25,54,95
24,100,90,82,81,0,30,39,74,100
34,100,79,70,88,5,37,29,78,100
100,63,25,91,6,85,0,69,97,58
34,100,89,66,77,0,34,28,78,100
60,94,65,93,54,0,8,59,100,98
83,92,58,85,38,35,0,55,100,79
42,100,90,76,65,7,8,41,99,100
85,83,44,94,32,43,0,69,100,77
61,100,58,94,23,19,0,95,100,83
71,100,65,96,47,17,0,60,100,99
100,46,11,88,0,90,9,100,78,28
72,100,61,100,43,29,1,69,100,87
63,100,73,55,66,18,21,46,99,100
66,100,69,90,51,25,2,60,100,95
75,91,56,100,40,30,2,64,100,86
100,63,22,100,21,61,0,81,98,62
44,100,83,99,69,0,22,51,90,100
23,95,100,82,80,0,30,39,74,100
82,100,55,90,25,35,0,88,100,77
85,95,56,100,24,31,0,69,100,76
35,100,94,83,73,6,24,39,82,100
77,100,63,88,34,26,0,65,100,78
21,70,100,84,84,11,35,34,65,100
51,100,75,83,57,7,1,53,98,100
25,100,100,70,89,14,41,25,75,100
62,100,69,78,59,19,14,57,98,100
37,100,85,73,77,12,33,30,78,100
28,100,97,96,69,0,12,50,82,100
53,100,76,80,67,16,20,46,93,100
71,100,66,94,47,19,0,59,100,90
15,84,100,59,91,10,43,36,65,100
82,92,50,91,33,38,2,80,100,80
77,82,43,96,25,28,0,77,100,78
