50,31,75,87
46,37,84,89
84,0,44,100
69,24,58,100
71,24,52,100
100,0,15,92
85,0,49,100
60,20,77,98
81,16,42,100
71,0,72,100
81,10,43,100
64,25,54,91
100,0,28,97
91,5,48,97
78,0,44,100
79,16,38,95
90,0,33,100
70,17,61,100
30,41,100,71
99,0,22,100
34,39,86,77
51,23,82,85
98,0,40,100
41,24,100,82
33,30,91,72
74,0,49,100
55,20,94,93
89,18,34,100
76,30,58,100
71,8,56,100
83,15,47,100
90,1,33,100
100,0,22,74
79,8,46,94
37,27,91,70
100,0,34,80
84,0,37,100
100,0,29,93
100,0,44,99
83,11,37,100
73,20,53,100
37,59,88,83
63,9,75,97
40,44,100,88
61,5,84,100
100,0,18,78
33,66,89,80
77,13,49,100
72,13,63,100
96,8,12,79
67,11,70,100
51,22,79,87
93,0,47,100
70,20,62,100
37,32,91,76
56,27,69,89
56,42,96,100
87,8,42,100
100,0,37,97
47,38,88,94
96,6,48,100
42,38,82,86
100,0,7,87
90,0,24,100
79,0,34,100
25,35,100,63
89,0,34,100
65,20,60,94
58,17,83,92
90,0,42,100
44,28,85,83
58,45,61,100
65,19,71,100
11,70,100,46
61,20,72,100
73,6,63,100
69,17,66,100
56,23,75,91
22,39,100,63
83,6,44,100
100,0,23,95
55,41,82,100
56,32,85,95
94,0,35,100
63,24,77,100
100,0,21,70
75,8,51,100
100,0,25,100
69,13,62,100
85,0,37,100
97,0,28,100
76,7,53,100
66,17,71,100
100,0,15,84
50,34,82,92
43,36,77,82
86,8,28,100
66,27,54,92
49,24,92,84
70,7,58,100
75,34,56,99
46,28,73,82
75,12,50,100
71,16,61,100
93,0,15,100
100,0,32,90
60,24,76,100
35,34,82,74
100,2,20,83
76,4,50,100
68,5,73,100
55,24,61,83
63,29,59,96
62,30,89,100
88,14,34,100
82,0,24,100
69,17,66,100
66,19,66,99
78,2,43,100
100,0,9,88
90,0,41,100
82,0,47,100
80,12,38,100
24,55,100,64
100,4,30,90
81,10,51,100
96,0,43,100
38,40,85,79
76,6,51,100
63,15,81,100
55,41,78,95
52,20,86,91
56,31,71,90
53,24,93,90
71,14,60,100
36,31,94,76
98,0,29,100
64,25,76,100
75,25,54,100
82,0,58,100
100,0,21,82
81,26,42,100
90,0,32,100
88,0,40,100
62,23,53,92
95,0,45,100
33,39,93,71
67,21,66,100
81,13,41,94
100,0,14,99
26,39,100,64
78,3,39,100
100,0,12,97
51,34,100,86
76,6,52,100
57,29,86,100
53,29,62,86
79,4,53,100
87,4,50,100
97,0,26,100
78,11,45,100
100,0,25,87
51,42,74,96
53,28,76,91
93,0,32,100
64,20,71,100
65,26,83,100
51,27,83,89
51,32,74,90
100,0,14,83
45,33,74,82
65,13,75,100
79,21,28,100
94,0,37,100
89,0,25,100
37,60,93,90
65,27,60,97
64,36,78,100
44,27,88,85
75,12,56,100
100,9,29,94
59,34,91,98
90,6,32,100
65,33,70,87
80,11,45,100
42,27,88,81
80,0,41,100
47,30,70,82
93,0,27,100
75,1,59,100
100,0,8,93
100,0,34,100
95,5,31,100
43,21,87,79
100,0,24,83
100,0,21,100
65,11,60,87
100,0,24,86
72,24,61,99
53,30,92,91
38,39,99,78
87,5,45,98
92,0,23,100
78,0,49,100
61,37,88,100
84,0,49,100
65,22,64,99
84,6,53,100
50,33,70,80
76,0,63,100
81,0,61,100
79,0,49,100
100,0,37,90
72,19,59,98
58,35,79,100
73,1,65,100
39,29,85,79
87,0,28,100
76,2,55,100
70,23,62,100
46,30,90,86
88,0,37,100
67,24,69,100
44,33,76,82
82,4,33,100
53,35,77,92
60,26,73,93
64,28,74,100
45,33,88,82
82,9,39,91
70,16,51,93
42,23,80,80
92,0,31,100
64,11,74,99
99,0,34,100
100,0,28,80
67,23,60,100
75,4,49,100
21,65,100,61
51,48,80,100
36,55,91,82
68,13,71,100
74,22,51,100
85,0,32,100
100,13,16,77
38,42,87,82
69,23,64,100
75,5,47,100
73,21,53,100
74,12,61,100
66,26,64,100
26,52,100,65
16,67,100,56
100,0,31,90
34,36,100,74
53,26,68,87
81,15,52,100
89,0,44,100
94,0,29,100
46,34,70,81
69,22,59,100
33,50,96,79
97,0,32,100
70,15,57,92
71,16,56,99
62,7,80,99
70,24,55,100
100,0,25,93
100,0,7,75
97,0,41,100
100,0,15,75
70,0,70,100
77,23,35,97
96,0,23,100
54,30,79,92
64,26,78,100
91,1,28,100
77,36,46,100
70,15,64,100
100,0,25,90
56,27,83,94
24,59,100,71
43,33,87,85
73,11,56,100
58,36,70,98
33,34,85,76
95,0,36,100
67,25,63,100
100,0,20,99
99,0,58,100
63,13,73,93
100,0,3,65
80,2,63,100
97,0,25,100
82,0,45,100
45,28,100,79
59,20,60,86
72,30,67,100
56,26,61,88
70,21,60,100
72,5,65,100
100,0,18,68
56,32,71,92
90,0,35,100
68,17,64,100
78,2,60,100
73,7,48,100
49,25,81,85
59,22,65,89
50,30,86,92
36,27,88,71
13,59,100,48
70,15,60,100
69,7,71,100
57,28,74,94
90,0,37,100
89,8,27,100
60,29,68,94
61,17,66,90
69,24,62,100
76,6,58,100
70,9,66,100
56,42,70,100
73,16,58,100
44,28,89,90
30,63,89,78
100,0,11,81
60,19,72,93
37,49,83,80
83,1,55,100
84,0,47,100
83,1,31,100
96,0,22,100
67,4,78,100
80,0,48,100
85,20,30,100
100,3,37,76
24,44,100,60
85,0,45,100
90,0,41,100
100,0,14,87
24,38,100,60
91,1,35,100
65,37,60,100
95,0,37,100
100,0,15,80
14,79,94,58
41,26,91,77
71,6,59,95
72,29,55,100
47,42,84,88
31,34,100,72
66,17,63,90
83,0,57,100
29,33,97,70
95,0,42,100
75,4,61,100
63,19,77,100
54,26,72,86
42,33,81,79
69,20,62,98
66,18,64,100
100,0,15,92
67,7,67,100
38,31,86,72
40,17,89,73
26,52,98,67
54,35,100,91
85,10,48,99
62,24,69,100
28,49,100,74
100,0,25,94
100,0,31,99
71,24,61,100
47,41,100,90
98,3,23,100
25,62,94,66
66,21,57,89
100,0,25,95
93,21,29,99
99,2,38,100
88,0,20,100
93,0,18,100
83,10,39,100
79,1,45,100
32,49,94,73
81,11,44,100
71,23,55,99
59,27,66,90
58,37,79,100
70,11,63,100
62,19,71,100
77,10,64,100
58,36,79,97
81,13,36,98
100,0,32,88
85,0,53,100
84,2,54,100
100,0,18,84
95,0,32,100
31,36,100,67
64,17,69,92
62,37,67,97
78,14,49,100
97,1,39,100
58,18,77,94
20,41,96,61
68,13,64,100
39,34,100,73
85,0,58,100
85,10,48,100
57,20,76,94
36,57,94,87
71,10,62,100
67,21,64,100
94,0,32,100
95,0,22,100
85,7,27,86
61,37,79,100
76,13,41,100
100,0,16,78
100,0,3,73
73,15,62,100
52,15,76,89
85,7,37,100
81,14,53,100
58,27,83,95
89,0,37,100
80,14,48,91
88,14,35,97
29,35,86,66
80,0,54,100
55,34,77,89
83,0,43,100
65,20,65,95
100,0,23,91
45,41,89,87
38,46,85,82
93,0,45,100
50,23,77,86
56,31,80,93
85,6,32,100
89,0,36,100
100,0,17,88
69,20,63,100
39,26,81,77
80,0,62,100
28,40,91,71
62,34,75,98
45,36,84,86
92,0,37,100
73,17,61,100
40,39,97,81
23,44,100,58
95,0,32,98
56,29,79,97
42,32,90,79
76,20,55,100
69,25,60,100
89,0,58,100
74,23,49,100
66,20,64,100
55,21,80,93
79,14,35,100
72,14,57,100
53,20,95,93
70,28,55,100
