25,72,13,100,31,87,50,75,75,22,100,57,0,85
26,83,6,100,37,89,46,84,77,7,92,36,0,100
70,42,40,92,0,100,84,44,100,1,76,27,16,73
36,72,23,100,24,100,69,58,85,18,99,56,0,74
54,73,22,95,24,100,71,52,100,0,73,18,10,84
92,20,64,70,0,92,100,15,100,0,61,12,44,52
65,42,41,97,0,100,85,49,100,0,76,35,11,69
41,63,19,100,20,98,60,77,84,4,94,38,0,100
53,67,32,95,16,100,81,42,100,1,93,47,0,62
54,41,29,100,0,100,71,72,88,0,81,19,12,91
74,52,38,86,10,100,81,43,100,9,91,14,28,80
61,66,21,93,25,91,64,54,100,0,100,9,20,76
92,15,63,72,0,97,100,28,100,12,63,4,52,62
62,58,39,97,5,97,91,48,100,0,100,27,12,53
81,34,38,87,0,100,78,44,100,0,73,15,30,68
56,67,31,91,16,95,79,38,100,10,100,45,7,61
86,30,56,84,0,100,90,33,100,15,68,13,42,73
51,57,28,100,17,100,70,61,93,8,83,49,0,86
13,83,3,99,41,71,30,100,60,24,100,68,0,89
80,39,54,70,0,100,99,22,100,0,82,28,30,50
23,83,0,100,39,77,34,86,71,15,100,48,0,98
32,61,18,100,23,85,51,82,77,5,95,31,0,100
78,31,55,87,0,100,98,40,100,0,59,16,31,67
30,67,11,95,24,82,41,100,66,4,100,30,0,93
20,67,5,100,30,72,33,91,68,19,100,47,0,88
62,41,33,95,0,100,74,49,100,0,76,34,7,83
35,58,21,100,20,93,55,94,78,8,93,33,0,100
55,75,36,84,18,100,89,34,100,0,98,22,4,46
34,74,32,100,30,100,76,58,79,19,97,67,0,73
57,50,30,100,8,100,71,56,100,5,88,31,4,92
53,64,34,100,15,100,83,47,98,5,73,38,0,60
74,47,43,82,1,100,90,33,100,2,97,10,24,65
80,44,65,64,0,74,100,22,100,0,86,10,33,20
62,56,33,94,8,94,79,46,100,2,100,27,12,72
21,60,9,100,27,70,37,91,70,17,86,50,0,100
86,14,66,76,0,80,100,34,100,5,56,0,47,45
79,16,46,76,0,100,84,37,100,0,50,11,38,84
61,62,44,80,0,93,100,29,100,0,87,24,7,36
73,45,48,88,0,99,100,44,100,0,96,17,26,52
76,51,39,84,11,100,83,37,100,1,86,9,27,69
62,62,31,96,20,100,73,53,100,0,86,7,15,78
12,100,0,100,59,83,37,88,67,30,77,63,0,88
53,48,23,100,9,97,63,75,91,0,83,23,10,100
2,83,2,100,44,88,40,100,61,38,100,89,0,98
51,45,20,100,5,100,61,84,84,0,89,7,16,98
90,32,64,67,0,78,100,18,100,0,74,6,38,34
9,100,0,100,66,80,33,89,60,39,81,84,0,92
64,58,33,96,13,100,77,49,100,6,88,31,14,81
41,62,26,100,13,100,72,63,82,9,97,44,0,92
63,64,46,73,8,79,96,12,100,0,100,27,4,25
52,49,30,100,11,100,67,70,91,0,85,23,2,96
50,61,11,100,22,87,51,79,86,0,85,20,18,100
82,16,54,89,0,100,93,47,100,0,54,13,39,65
43,69,23,100,20,100,70,62,88,3,97,43,0,84
27,76,6,100,32,76,37,91,70,3,100,36,0,70
39,69,16,100,27,89,56,69,88,4,95,33,0,100
10,82,16,100,42,100,56,96,70,29,90,81,0,82
75,55,40,85,8,100,87,42,100,13,85,38,31,79
87,38,57,81,0,97,100,37,100,22,85,35,45,72
27,86,9,100,38,94,47,88,72,9,84,36,0,100
49,66,38,100,6,100,96,48,93,19,77,48,0,70
24,84,3,100,38,86,42,82,75,14,89,34,0,100
100,25,75,54,0,87,100,7,95,14,67,0,57,39
81,39,49,74,0,100,90,24,100,3,82,17,30,61
88,29,43,78,0,100,79,34,100,1,70,0,37,70
6,69,0,97,35,63,25,100,58,25,91,70,0,100
77,28,51,78,0,100,89,34,100,3,66,19,34,76
54,59,27,100,20,94,65,60,98,7,93,31,8,100
38,55,23,100,17,92,58,83,79,3,85,20,0,100
65,41,47,99,0,100,90,42,100,0,76,34,8,67
32,69,7,100,28,83,44,85,77,13,94,46,0,100
23,95,10,100,45,100,58,61,83,22,94,40,0,75
47,60,25,100,19,100,65,71,99,6,96,38,0,85
0,100,0,78,70,46,11,100,28,43,88,80,9,85
43,69,16,100,20,100,61,72,87,0,100,25,1,96
66,46,30,99,6,100,73,63,100,0,55,12,21,93
51,60,27,100,17,100,69,66,95,0,90,32,2,72
40,64,18,100,23,91,56,75,86,0,100,21,2,81
21,81,0,98,39,63,22,100,62,11,100,47,0,73
69,51,37,90,6,100,83,44,100,6,99,18,22,80
80,39,59,74,0,95,100,23,100,5,82,27,30,53
25,88,10,100,41,100,55,82,77,16,90,59,0,94
24,69,18,100,32,95,56,85,76,29,100,71,0,98
73,39,51,82,0,100,94,35,100,0,83,6,24,62
34,65,24,100,24,100,63,77,78,20,88,62,0,93
84,34,67,65,0,70,100,21,100,0,84,11,35,24
57,53,30,98,8,100,75,51,100,0,83,31,1,72
89,25,61,75,0,100,100,25,100,0,70,3,41,58
59,57,23,98,13,100,69,62,100,0,78,31,14,91
77,30,44,78,0,100,85,37,100,0,73,12,33,67
69,50,48,82,0,100,97,28,100,1,96,9,12,54
67,46,33,93,7,100,76,53,100,0,80,15,20,75
47,59,25,100,17,100,66,71,90,2,94,29,0,98
91,36,65,65,0,84,100,15,100,9,59,0,43,41
33,80,8,100,34,92,50,82,80,0,91,26,2,100
25,77,4,100,36,82,43,77,78,14,96,39,0,100
54,63,37,86,8,100,86,28,100,12,92,51,0,56
41,67,27,100,27,92,66,54,87,8,100,43,3,74
28,64,18,100,24,84,49,92,69,4,100,9,0,90
53,51,27,100,7,100,70,58,98,0,84,37,2,99
31,80,28,100,34,99,75,56,80,22,100,69,0,71
34,67,8,100,28,82,46,73,83,12,82,54,0,100
75,48,35,87,12,100,75,50,100,10,88,0,33,95
68,54,31,99,16,100,71,61,100,0,90,1,20,75
82,36,57,66,0,100,93,15,100,2,71,31,32,60
90,9,71,75,0,90,100,32,100,24,49,30,60,63
39,68,16,100,24,100,60,76,86,15,92,56,0,93
26,75,0,100,34,74,35,82,75,14,90,39,0,100
62,59,47,76,2,83,100,20,100,1,99,31,0,28
61,49,31,95,4,100,76,50,100,0,92,26,10,83
53,46,25,100,5,100,68,73,88,0,85,11,12,92
52,66,14,100,24,83,55,61,98,0,100,29,11,85
50,75,18,100,29,96,63,59,100,0,100,47,5,88
29,70,24,100,30,100,62,89,76,16,91,50,0,85
66,68,35,78,14,100,88,34,100,0,100,11,22,51
90,37,44,72,0,100,82,24,100,12,80,10,38,62
52,62,26,100,17,100,69,66,92,0,84,25,8,88
44,64,22,100,19,99,66,66,90,9,100,43,0,88
83,36,38,85,2,100,78,43,100,7,78,12,33,80
84,44,57,75,0,88,100,9,100,2,76,16,16,44
77,40,44,82,0,100,90,41,100,8,73,21,36,86
70,30,37,84,0,100,82,47,100,0,77,9,29,72
79,53,38,82,12,100,80,38,100,15,96,29,33,74
3,89,0,94,55,64,24,100,51,29,100,81,0,97
89,0,75,71,4,90,100,30,100,21,40,25,60,63
63,56,36,100,10,100,81,51,100,0,100,17,12,79
77,35,56,89,0,100,96,43,100,12,72,31,35,84
21,82,0,100,40,79,38,85,73,15,77,25,0,100
67,47,34,96,6,100,76,51,100,3,82,27,13,82
41,56,25,100,15,100,63,81,83,5,96,23,0,98
14,83,16,100,41,95,55,78,71,19,86,25,0,100
37,62,15,100,20,91,52,86,80,1,91,31,0,100
29,69,20,100,31,90,56,71,83,8,95,43,0,100
29,65,20,100,24,90,53,93,70,6,100,32,0,97
52,58,29,100,14,100,71,60,94,0,94,30,4,86
24,70,4,100,31,76,36,94,70,12,99,46,0,100
92,26,60,73,0,100,98,29,100,12,73,0,49,60
36,64,27,100,25,100,64,76,83,7,99,22,0,95
34,74,27,100,25,100,75,54,82,21,82,60,0,75
63,37,41,100,0,100,82,58,97,0,77,19,13,77
89,36,63,73,0,82,100,21,100,8,79,15,37,43
56,77,31,93,26,100,81,42,100,15,90,62,10,70
78,41,48,80,0,100,90,32,100,6,82,11,28,65
73,42,45,93,0,100,88,40,100,12,84,27,18,67
52,65,21,95,23,92,62,53,100,0,100,23,5,66
74,25,49,85,0,100,95,45,100,0,69,7,36,67
6,75,2,100,39,71,33,93,63,27,100,70,0,74
